crisis_names
affected
aftermath
arrest
attack
authorities
blast
bomber
bombing
braces
buried
bushfire
casualties
cleanup
crisis
damage
dead
deadly
death
destroyed
destruction
devastating
disaster
displaced
donate
dozens
dramatic
emergency
enforcement
evacuated
evacuees
events
explosion
fatalities
firefighters
flood
floodwaters
footage
hurricane
imminent
impacted
injured
injuries
inundated
investigation
landfall
levy
magnitude
massive
military
nursing
prayers
praying
ravaged
rebuild
rebuilt
recede
recover
redcross
relief
rescue
rescuers
residents
responders
rubble
saddened
safety
seismic
soldier
storm
stream
surviving
survivor
terrifying
terror
toll
tornado
torrential
toxins
tragedy
tragic
troops
twister
unaccounted
victims
volunteers
warning
